background,objective,reference
CDT encourages the use of naturalistic idioms and allows the training talker to adapt their speaking style to perceptual difficulties (#CITATION_TAG).,"It also investigated whether acoustic-phonetic modifications made to counteract the effects of a challenging listening condition are tailored to the condition under which communication occurs. Forty talkers were recorded in pairs while engaged in ""spot the difference"" picture tasks in good and challenging conditions. In the challenging conditions, one talker heard the other (1) via a three-channel noise vocoder (VOC); (2) with simultaneous babble noise (BABBLE).","['This study investigated whether speech produced in spontaneous interactions when addressing a talker experiencing actual challenging conditions differs in acoustic-phonetic characteristics from speech produced (a) with communicative intent under more ideal conditions and (b) without communicative intent under imaginary challenging conditions (read, clear speech).']"
"Performance at 22- and 23-mm simulated insertion depths was always poorer than normal, and performance at 25 mm simulated insertion depth was, most generally, the same as normal. When vocoded speech is spectrally shifted upward to simulate relatively shallow CI electrode insertions, shifts in excess of 3 mm of basilar membrane distance have large acute effects on speech perception (#CITATION_TAG; Shannon et al., 1998).","Normally hearing listeners were presented with vowels, consonants, and sentences for identification through an acoustic simulation of a five-channel cochlear implant with electrodes separated by 4 mm (as in the Ineraid implant). Insertion depth was simulated by outputting sine waves from each channel of the processor at a frequency determined by the cochlear place of electrodes inserted 22-25 mm into the cochlea.",['The aim of the experiment was to simulate the effect of depth of electrode insertion on identification accuracy.']
"Vowel recognition may be the limiting factor in recognizing basally shifted speech. Cochlear implant listeners show comparable adaptation to changes of frequency mapping (#CITATION_TAG; Fu et al., 2002), and several studies indicate that explicit speech-based training can facilitate this Fu and Galvin, 2008).",,"['The purpose of this project was to assess the degree to which a patient, after 1 wk of experience, could adapt to 3.2-mm and 6.8-mm basal shifts in the representation of speech.']"
"While often included as a control, this is rarely a focus of UK studies, #CITATION_TAG excepted.","Special efforts are made to disentangle the effects of family size and birth order, since these effects have often been confounded in the past.","['This paper explores the relationship between sibship structure and educational outcomes, in the context of theories of dilution of parental time.']"
"These arguments have been described extensively in Kimsma and Van Leeuwen (Asking to die. Inside the Dutch debate about euthanasia, Kluwer Academic Publishers, Dordrecht, 1998). Analyses of intergenerational class mobility in Britain (e.g. Goldthorpe and Mills, 2008; Kuha and Goldthorpe, 2010) still tend to focus on father's occupation or the 'dominant' parental occupation (Erikson, 1984); however, internationally, authors examining occupational outcomes have highlighted the desirability of taking into account both parents' characteristics (#CITATION_TAG; Lampard, 2007a; Marks, 2009; Schoon, 2008).","After some general introductory descriptions, by way of formulating a frame of reference, I shall describe the effects of this practice on patients, physicians and families, followed by a more philosophical reflection on the significance of these effects for the assessment of the authenticity of a request and the nature of unbearable suffering, two key concepts in the procedure towards euthanasia or physician-assisted suicide.","['In this article I intend to describe an issue of the Dutch euthanasia practice that is not common knowledge.', 'This article does not focus on the arguments for or against euthanasia and the ethical justification of physician-assisted dying.']"
"The associations of family structure and reason for family disruption with outcomes for fifteen/sixteen year olds are similar in the West of Scotland to those in Britain as a whole Furthermore, studies of occupational outcomes in Britain have examined family-type effects surprisingly rarely, given the prominence of family 'disruption' in numerous educational attainment studies, often using longitudinal data (Cusworth, 2009; #CITATION_TAG; Ermisch and Francesconi, 2001; Ermisch et al., 2004; Kiernan, 1992 Kiernan,, 1996 Kiernan,, 1997 Lampard, 2007b; Ní Bhrolcháin et al., 2000; Scott, 2004).","A wide range of measures were considered using educational achievement to represent life-chances, smoking and drinking to represent life styles and psychological well-being (GHQ) and physical symptoms to represent health. The associations of family structure with these outcomes is estimated for each Study at three levels: the overall association, that after controlling for gender and family income, and finally after controlling in addition for family processes. Odds ratios with 95 per cent confidence intervals are reported for those living in lone-parent households and reconstituted households each compared with intact families.","['The main aim of this paper is to compare the association of family structure with outcomes for young people in living in the West of Scotland (the Twenty-07 Study, N=1009) with their contemporaries living in Britain (the 1970 British Cohort Study N=11615) in the mid-1980s.']"
"Setting Tertiary referral centre for oncology patients in Utrecht, the Netherlands. Analyses of intergenerational class mobility in Britain (e.g. Goldthorpe and Mills, 2008; #CITATION_TAG) still tend to focus on father's occupation or the 'dominant' parental occupation (Erikson, 1984); however, internationally, authors examining occupational outcomes have highlighted the desirability of taking into account both parents' characteristics (Beller, 2009; Lampard, 2007a; Marks, 2009; Schoon, 2008).",Participants 189 bereaved family members and close friends of terminally ill cancer patients who died by euthanasia and 316 bereaved family members and close friends of comparable cancer patients who died a natural death between 1992 and 1999.,['Abstract Objective To assess how euthanasia in terminally ill cancer patients affects the grief response of bereaved family and friends.']
"Physicians must report each euthanasia case to the Federal Control and Evaluation Committee. Cases describing other ELDs were sometimes also labelled 'euthanasia'. Mislabelling of ELDs could impede societal control over euthanasia. Schoon (2008: 74) views them as indicators of 'family social position', citing the view that they can act as indicators of socio-economic resources and cultural characteristics (#CITATION_TAG).","METHODS Five hypothetical cases of ELDs: intensified pain alleviation, palliative/terminal sedation, euthanasia with neuromuscular relaxants, euthanasia with morphine and life-ending without patient request were presented in a cross-sectional survey of 914 physicians in Belgium in 2009.","[""This study examines which end-of-life decisions (ELDs) Belgian physicians label 'euthanasia', which ELDs they think should be reported and the physician characteristics associated with correct labelling of euthanasia cases, the awareness that they should be reported and the reporting of them.""]"
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. The most frequently mentioned reasons for requesting EAS were ""pointless suffering,"" ""loss of dignity,"" and ""weakness."" The decisions physicians make, the reasons they have for their decisions, and the way they arrived at their decisions seem to be based on patient evaluations. Physicians report compliance with the official requirements for accepted practice. Glacier contribution definitely has a considerable effect on the runoff of the Río Santa during the dry season (Bury et al., 2013; #CITATION_TAG) and even more so on the tributaries draining the Cordillera Blanca.","METHODS All general practitioners in 18 of the 23 Dutch general practitioner districts received a written questionnaire in which they were asked to describe the most recent request for EAS they received. Patients' most prominent symptoms were ""feeling bad,"" ""tiredness,"" and ""lack of appetite.""","[""BACKGROUND The aims of this study were to obtain information about the characteristics of requests for euthanasia and physician-assisted suicide (EAS) and to distinguish among different types of situations that can arise between the request and the physician's decision.""]"
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. The total glacial area of the Cordillera Blanca, Peru, has shrunk by more than 30% in the period of 1930 to the present with a marked glacier retreat also in the recent decades. The strong increase in precipitation in the last 30 years probably did not balance the increase of temperature before the 1980s. It is suggested that recent changes in temperature and precipitation alone may not explain the glacial recession within the thirty years from the early 1980s to 2012. Glaciers in the Cordillera Blanca may be still reacting to the positive air temperature rise before 1980. Especially small and low-lying glaciers are characterised by a serious imbalance and may disappear in the near future Precipitation increases from August towards the October to April core wet season and is close to nil during June and July (e.g., Kaser and Osmaston, 2002; Mark et al., 2010; #CITATION_TAG).",We documented a cooling trend for maximum daily air temperatures and an increase in precipitation of about 60 mm/decade since the early 1980s.,['The aim of this paper is to assess local air temperature and precipitation changes in the Cordillera Blanca and to discuss how these variables could have affected the observed glacier retreat between the 1980s and present.']
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. Smallholder agriculture in the Central Andes of Peru is based to large extent on rainfed cropping systems, is exposed to climatic risks and is expected to respond sensitively to increasing temperatures and shifts in the precipitation regime. Criterion 3a follows data presented in Table 1 in #CITATION_TAG which is the only study we know that presents typical precipitation values required for planting of different crop types in the region.",A simple crop model is used to assess the effects of these changes on crop phenology and development.,"[""Here, we examine the potential implications of early twenty-first century climate change scenarios for the cultivation of potato, maize, wheat, barley and broad bean, five annual crops that account for 50 % of the cultivated area in the Department of Cusco and  Apuri'mac and provide the dietary backbone for a large share of the local population.""]"
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. Patients and physicians seemed to agree about this. In cases in which patients said they suffered unbearably there was less agreement about what constitutes unbearable suffering; patients put more emphasis on psychosocial suffering, such as dependence and deterioration, whereas physicians referred more often to physical suffering. In some cases the physician thought that the suffering was not unbearable because the patient's behaviour seemed incompatible with unbearable suffering--for instance, because the patient was still reading books. Conclusions Patients do not always think that their suffering is unbearable, even if they have a lasting wish to die. Physicians seem to have a narrower perspective on unbearable suffering than patients and than case law suggests. despite no detectable trends in the total amount of precipitation during the wet seasons (Fig. 4b) nor any other trend, the high inter-annual variability of (1) the timing of the onset of the agricultural year (as determined by the first pronounced precipitation event) and (2) dry spells during the wet season, especially during the very sensible early phase of plant growing, kept rain-fed farming constantly challenging and likely favored perceptions of water scarcity (#CITATION_TAG).","Design In-depth interviews with a topic list. Setting Patients' homes and physicians' offices. Participants 10 patients who explicitly requested euthanasia but whose request was not granted or performed and eight physicians of these patients; and eight physicians of patients who had requested euthanasia but had died before the request had been granted or performed or had died after the request was refused by the physician or after the patient had withdrawn his or her request. In an attempt to solve the problem of different perspectives, physicians should take into account the different aspects of suffering as described in the literature and a framework for assessing the suffering of patients who ask for euthanasia.",['Objective To obtain in-depth information about the views of patients and physicians on suffering in patients who requested euthanasia in whom the request was not granted or granted but not performed.']
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. Smallholder livelihoods in the Peruvian Altiplano are frequently threatened by weather extremes, including droughts, frosts and heavy rainfall. The peasant families of the Río Auqui watershed cultivate an average area of around 3 hectares per family which are distributed in small plots over different altitudes of the valley (Fig. 1) in order to guarantee diversified production for each family (#CITATION_TAG; Vos, 2010; Zimmerer, 2011).","We applied this approach to 268 smallholder households using information from two existing regional assessments and from our own household survey. The cluster analysis revealed four vulnerability patterns that depict typical combinations of household attributes, including their harvest failure risk, agricultural resources, education level and non-agricultural income. The vulnerability patterns were then ranked according to the different amounts of purchase. A second validation aspect accounted for independently reported mechanisms explaining smallholders' sensitivity and adaptive capacity.","[""Given the persistence of significant undernourishment despite regional development efforts, we propose a cluster approach to evaluate smallholders' vulnerability to weather extremes with regard to food security.""]"
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. Climatologically defined wet seasons (e.g., #CITATION_TAG) might typically end a few weeks earlier.",,"['Purpose: In the legal performance of the euthanasia procedure, unbearable suffering, one of the requirements of due care, is difficult to assess.']"
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. ABSTRACT Background: Although advance directives may seem useful instruments in decision-making regarding incompetent patients, their validity in cases of dementia has been a much debated subject and little is known about their effectiveness in practice. Insight into the experiences and wishes of people with dementia regarding advance directives is totally lacking in empirical research. It is clear, however, that the use of advance directives in practice remains problematic, above all in cases of advance euthanasia directives, but to a lesser extent also when non-treatment directives are involved. The peasant families of the Río Auqui watershed cultivate an average area of around 3 hectares per family which are distributed in small plots over different altitudes of the valley (Fig. 1) in order to guarantee diversified production for each family (Sietz et al., 2012; #CITATION_TAG; Zimmerer, 2011).",Methods: The relevant problems from the ethical debate on advance directives in cases of dementia are summarized and we discuss how these relate to what is known from empirical research on the validity and effectiveness of advance directives in the clinical practice of dementia care.,"['This paper assesses the contribution of advance directives to decision-making in the care of people with dementia, with a special focus on non-treatment directives and directives for euthanasia.']"
"Pronounced hygric seasonality determines the regional climate and, thus, the characteristics of rainfed agriculture in the Peruvian Callejon de Huaylas (Cordillera Blanca). Peasants in the Cuenca Auqui on the eastern slopes above the city of Huaraz attribute recently experienced challenges in agricultural production mainly to perceived changes in precipitation patterns. Statistical analyses of daily precipitation records at nearby Recuay (1964Recuay ( to 2013 and Huaraz (1996 to 2013) stations do not corroborate the perceived changes. BackgroundFollowing the 2002 enactment of the Belgian law on euthanasia, which requires the consultation of an independent second physician before proceeding with euthanasia, the Life End Information Forum (LEIF) was founded which provides specifically trained physicians who can act as mandatory consultants in euthanasia requests. They tended to more often discuss the request with the attending physician (100% vs 95%) and with the family (76% vs 69%), and also more frequently helped the attending physician with performing euthanasia (44% vs 24%). Irrespective of whether euthanasia is a legal practice within a country, similar services may prove useful to also improve quality of consultations in various other difficult end-of-life decision-making situations. Climate change is mainly seen in view of environmental justice (#CITATION_TAG) with causes in both the industrialization in ""the First World"" on a global and air pollution from mining as well as air and car traffic on the regional scale.","This study assesses quality of consultations in Flanders and Brussels and compares these between LEIF and non-LEIF consultants.MethodsA questionnaire was sent in 2009 to a random sample of 3,006 physicians in Belgium from specialties likely involved in the care of dying patients. Several questions about the last euthanasia request of one of their patients were asked.",['As LEIF serves the Flemish speaking community (i.e.']
"This article analyses domestic and foreign reactions to a 2008 report in the British Medical Journal on the complementary and, as argued, synergistic relationship between palliative care and euthanasia in Belgium. The earliest initiators of palliative care in Belgium in the late 1970s held the view that access to proper palliative care was a precondition for euthanasia to be acceptable and that euthanasia and palliative care could, and should, develop together. Advocates of euthanasia including author Jan Bernheim, independent from but together with British expatriates, were among the founders of what was probably the first palliative care service in Europe outside of the United Kingdom. In what has become known as the Belgian model of integral end-oflife care, euthanasia is an available option, also at the end of a palliative care pathway. This approach became the majority view among the wider Belgian public, palliative care workers, other health professionals, and legislators. The legal regulation of euthanasia in 2002 was preceded and followed by a considerable expansion of palliative care services. The Belgian model of so-called integral end-oflife care is continuing to evolve, with constant scrutiny of practice and improvements to procedures. It still exhibits several imperfections, for which some solutions are being developed. This article analyses this model by way of answers to a series of questions posed by Journal of Bioethical Inquiry consulting editor Michael Ashby to the Belgian authors. The European Association for Palliative Care Task (EAPC) Force on the Development of Palliative Care in Europe was created in 2003 and the results of its work are now being reported in full, both here and in several other publications. Different models of service delivery have been developed and implemented throughout the countries of Europe. For example, in addition to the UK, the countries of Germany, Austria, Poland and Italy have a well-developed and extensive network of hospices. The model for mobile teams or hospital support teams has been adopted in a number of countries, most notably in France. Day Centres are a development that is characteristic of the UK with hundreds of these services currently in operation. The number of beds per million inhabitants ranges between 45--75 beds in the most advanced European countries, to only a few beds in others. The countries with the highest development of palliative care in their respective subregions as measured in terms of ratio of services per one million inhabitants are: Western Europe -- UK (15); Central and Eastern Europe -- Poland (9); Commonwealth of Independent States -- Armenia (8). To date, worldwide, this is the only professional PC organisation to have done so (Federatie Palliatieve Zorg Vlaanderen 2003; #CITATION_TAG).","Four studies, each with different working methods, made up the study protocol: a literature review, a review of all the existing palliative care directories in Europe, a qualitative `Eurobarometer' survey and a quantitative `Facts Questionnaire' survey.","['The objective of the Task Force is to assess the degree of palliative care development in the European Region as defined by the World Health Organization (WHO).', 'The Task Force is a collaboration between EAPC, the International Observatory on End of Life Care, Help the Hospices and the International Association for Hospice and Palliative Care.', 'The work of the Task Force covers the entire WHO European Region of 52 countries.', 'In this article we present a comparative study on the development of palliative care in Europe, drawing on all four elements of the study.']"
"This article analyses domestic and foreign reactions to a 2008 report in the British Medical Journal on the complementary and, as argued, synergistic relationship between palliative care and euthanasia in Belgium. The earliest initiators of palliative care in Belgium in the late 1970s held the view that access to proper palliative care was a precondition for euthanasia to be acceptable and that euthanasia and palliative care could, and should, develop together. Advocates of euthanasia including author Jan Bernheim, independent from but together with British expatriates, were among the founders of what was probably the first palliative care service in Europe outside of the United Kingdom. In what has become known as the Belgian model of integral end-oflife care, euthanasia is an available option, also at the end of a palliative care pathway. This approach became the majority view among the wider Belgian public, palliative care workers, other health professionals, and legislators. The legal regulation of euthanasia in 2002 was preceded and followed by a considerable expansion of palliative care services. The Belgian model of so-called integral end-oflife care is continuing to evolve, with constant scrutiny of practice and improvements to procedures. It still exhibits several imperfections, for which some solutions are being developed. This article analyses this model by way of answers to a series of questions posed by Journal of Bioethical Inquiry consulting editor Michael Ashby to the Belgian authors. Physicians who deny the existence of a transcendent power and hardly attend religious services are more likely to approve of euthanasia even in the case of minors or demented patients. This was not at all so in Belgium: An initial major motive for the introduction of palliative care was also to promote the acceptability of euthanasia (Bernheim 1990 (#CITATION_TAG Distelmans 2010).","Materials and Methods: An anonymous self administered questionnaire approved by Flemish Palliative Care Federation and its ethics steering group was sent to all physicians(n-147) working in Flemish Palliative Care. Questionnaire consisted of three parts. In first part responded were requested to provide demographic information. In second part the respondents were asked to provide information concerning their religion or world view through several questions enquiring after religious or ideological affiliation, religious or ideological self-definition, view on life after death, image of God, spirituality, importance of rituals in their life, religious practice, and importance of religion in life. The third part consisted of a list of attitudinal statements regarding different treatment decisions in advanced disease on which the respondents had to give their opinion using a five-point Likert scale.99 physician responded.",['Aims: To Study the religious and ideological views and practice of Palliative Care physician towards Euthanasia.']
"This article analyses domestic and foreign reactions to a 2008 report in the British Medical Journal on the complementary and, as argued, synergistic relationship between palliative care and euthanasia in Belgium. The earliest initiators of palliative care in Belgium in the late 1970s held the view that access to proper palliative care was a precondition for euthanasia to be acceptable and that euthanasia and palliative care could, and should, develop together. Advocates of euthanasia including author Jan Bernheim, independent from but together with British expatriates, were among the founders of what was probably the first palliative care service in Europe outside of the United Kingdom. In what has become known as the Belgian model of integral end-oflife care, euthanasia is an available option, also at the end of a palliative care pathway. This approach became the majority view among the wider Belgian public, palliative care workers, other health professionals, and legislators. The legal regulation of euthanasia in 2002 was preceded and followed by a considerable expansion of palliative care services. The Belgian model of so-called integral end-oflife care is continuing to evolve, with constant scrutiny of practice and improvements to procedures. It still exhibits several imperfections, for which some solutions are being developed. This article analyses this model by way of answers to a series of questions posed by Journal of Bioethical Inquiry consulting editor Michael Ashby to the Belgian authors. This book is a successor to J Griffiths, A Bood and H Weyers, Euthanasia and Law in the Netherlands (Amsterdam University Press 1998) which was widely praised for its thoroughness, clarity, and accuracy. Does the Dutch experience with legalised euthanasia support the idea of a 'slippery slope' toward a situation in which life-especially of the more vulnerable members of society-is less effectively protected? Is it possible to explain and to predict when a society will decide to legalise euthanasia? Similarly, illegal clandestine end-of-life practices, performed without peer control, as documented in Belgium before the euthanasia law and elsewhere (Kuhse et al. 1997; Deliens et al. 2000; #CITATION_TAG) can be considered more worrying than even imperfectly regulated legal euthanasia.","The new book emphasises recent legal developments and new research, and has been expanded to include a full treatment of Belgium, where since 2002 euthanasia has also become legal. The book also includes descriptions written by local specialists of the legal situation and what is known about actual practice in a number of other European countries (England and Wales, France, Italy, Scandinavia, Spain, Switzerland). It covers in detail: - the substantive law applicable to euthanasia, physician-assisted suicide, withholding and withdrawing treatment, use of pain relief in potentially lethal doses, palliative and terminal sedation, and termination of life without a request (in particular in the case of newborn babies); -the process of legal development that has led to the current state of the law; -the system of legal control and its operation in practice; -the results of empirical research concerning actual medical practice. A concluding part deals with some general questions that arise out of the material presented: Is the legalisation of euthanasia an example of the decline of law or should it, on the contrary, be seen as part and parcel of the increasing juridification of the doctor-patient relationship?",['The book strives for as complete and dispassionate a description of the situation as possible.']
"This article analyses domestic and foreign reactions to a 2008 report in the British Medical Journal on the complementary and, as argued, synergistic relationship between palliative care and euthanasia in Belgium. The earliest initiators of palliative care in Belgium in the late 1970s held the view that access to proper palliative care was a precondition for euthanasia to be acceptable and that euthanasia and palliative care could, and should, develop together. Advocates of euthanasia including author Jan Bernheim, independent from but together with British expatriates, were among the founders of what was probably the first palliative care service in Europe outside of the United Kingdom. In what has become known as the Belgian model of integral end-oflife care, euthanasia is an available option, also at the end of a palliative care pathway. This approach became the majority view among the wider Belgian public, palliative care workers, other health professionals, and legislators. The legal regulation of euthanasia in 2002 was preceded and followed by a considerable expansion of palliative care services. The Belgian model of so-called integral end-oflife care is continuing to evolve, with constant scrutiny of practice and improvements to procedures. It still exhibits several imperfections, for which some solutions are being developed. This article analyses this model by way of answers to a series of questions posed by Journal of Bioethical Inquiry consulting editor Michael Ashby to the Belgian authors. Public and healthcare professionals differ in their attitudes towards euthanasia and physician-assisted suicide (PAS), the legal status of which is currently in the spotlight in the UK. The unexpected direction of association between religiosity and attitudes may reflect a broader cultural shift in attitudes since earlier research in this area. The palliative care budget has continued to rise annually by 10 percent, and Belgian palliative care, according to European Association for Palliative Care (EAPC) indicators (#CITATION_TAG), is on a par with the reference United Kingdom.","One hundred and fifty-one undergraduate students (early-stage nursing training, late-stage nursing training and non-nursing controls) were approached on a UK university campus and asked to complete a self-report questionnaire. Participants were of mixed gender and were on average 25.5 years old.",['Previous research tends toward basic designs reporting on attitudes in the context of just one or two potentially influencing factors; we aimed to test the comparative importance of a larger range of variables in a sample of nursing trainees and non-nursing controls.']
"This article analyses domestic and foreign reactions to a 2008 report in the British Medical Journal on the complementary and, as argued, synergistic relationship between palliative care and euthanasia in Belgium. The earliest initiators of palliative care in Belgium in the late 1970s held the view that access to proper palliative care was a precondition for euthanasia to be acceptable and that euthanasia and palliative care could, and should, develop together. Advocates of euthanasia including author Jan Bernheim, independent from but together with British expatriates, were among the founders of what was probably the first palliative care service in Europe outside of the United Kingdom. In what has become known as the Belgian model of integral end-oflife care, euthanasia is an available option, also at the end of a palliative care pathway. This approach became the majority view among the wider Belgian public, palliative care workers, other health professionals, and legislators. The legal regulation of euthanasia in 2002 was preceded and followed by a considerable expansion of palliative care services. The Belgian model of so-called integral end-oflife care is continuing to evolve, with constant scrutiny of practice and improvements to procedures. It still exhibits several imperfections, for which some solutions are being developed. This article analyses this model by way of answers to a series of questions posed by Journal of Bioethical Inquiry consulting editor Michael Ashby to the Belgian authors. We study the graviton propagator in Euclidean loop quantum gravity. Some took issue with the data and pragmatic considerations, arguing that the legal safeguards against abuse are insufficiently enforced (Materstvedt 2009; #CITATION_TAG; Cohen-Almagor 2013), and others aimed to refute the conclusions on fundamental ideological grounds (Jaspers, Müller-Busch, and Nauck 2009; Kettler and Nauck 2010; Johnstone 2012; Materstvedt 2012).","We use spin foam, boundary-amplitude, and group-field-theory techniques. We compute a component of the propagator to first order, under some approximations, obtaining the correct large-distance behavior.",['This indicates a way for deriving conventional spacetime quantities from a background-independent theory.']
"This article analyses domestic and foreign reactions to a 2008 report in the British Medical Journal on the complementary and, as argued, synergistic relationship between palliative care and euthanasia in Belgium. The earliest initiators of palliative care in Belgium in the late 1970s held the view that access to proper palliative care was a precondition for euthanasia to be acceptable and that euthanasia and palliative care could, and should, develop together. Advocates of euthanasia including author Jan Bernheim, independent from but together with British expatriates, were among the founders of what was probably the first palliative care service in Europe outside of the United Kingdom. In what has become known as the Belgian model of integral end-oflife care, euthanasia is an available option, also at the end of a palliative care pathway. This approach became the majority view among the wider Belgian public, palliative care workers, other health professionals, and legislators. The legal regulation of euthanasia in 2002 was preceded and followed by a considerable expansion of palliative care services. The Belgian model of so-called integral end-oflife care is continuing to evolve, with constant scrutiny of practice and improvements to procedures. It still exhibits several imperfections, for which some solutions are being developed. This article analyses this model by way of answers to a series of questions posed by Journal of Bioethical Inquiry consulting editor Michael Ashby to the Belgian authors. Unreported cases were generally dealt with less carefully than reported cases: a written request for euthanasia was more often absent (87.7% v 17.6% verbal request only; P<0.001), other physicians and caregivers specialised in palliative care were consulted less often (54.6% v 97.5%; 33.0% v 63.9%; P<0.001 for both), the life ending act was more often performed with opioids or sedatives (92.1% v 4.4%; P<0.001), and the drugs were more often administered by a nurse (41.3% v 0.0%; P<0.001).One out of two euthanasia cases is reported to the Federal Control and Evaluation Committee. Most non-reporting physicians do not perceive their act as euthanasia. Countries debating legalisation of euthanasia should simultaneously consider developing a policy facilitating the due care and reporting obligations of physicians. In Flanders in 2007, slightly more than half the estimated total number of euthanasia cases (as according to the technical definition of the death certificate studies) were reported (#CITATION_TAG).","Setting Flanders, Belgium.A stratified at random sample was drawn of people who died between 1 June 2007 and 30 November 2007.",['To estimate the rate of reporting of euthanasia cases to the Federal Control and Evaluation Committee and to compare the characteristics of reported and unreported cases of euthanasia.']
"This article analyses domestic and foreign reactions to a 2008 report in the British Medical Journal on the complementary and, as argued, synergistic relationship between palliative care and euthanasia in Belgium. The earliest initiators of palliative care in Belgium in the late 1970s held the view that access to proper palliative care was a precondition for euthanasia to be acceptable and that euthanasia and palliative care could, and should, develop together. Advocates of euthanasia including author Jan Bernheim, independent from but together with British expatriates, were among the founders of what was probably the first palliative care service in Europe outside of the United Kingdom. In what has become known as the Belgian model of integral end-oflife care, euthanasia is an available option, also at the end of a palliative care pathway. This approach became the majority view among the wider Belgian public, palliative care workers, other health professionals, and legislators. The legal regulation of euthanasia in 2002 was preceded and followed by a considerable expansion of palliative care services. The Belgian model of so-called integral end-oflife care is continuing to evolve, with constant scrutiny of practice and improvements to procedures. It still exhibits several imperfections, for which some solutions are being developed. This article analyses this model by way of answers to a series of questions posed by Journal of Bioethical Inquiry consulting editor Michael Ashby to the Belgian authors. Death is often preceded by medical decisions that potentially shorten life (end-of-life decisions [ELDs]), for example, the decision to withhold or withdraw treatment. Almost all of the incompetent patients had previously stated that they wanted their family involved in case of incompetence, but half did not achieve this.In half of the cases, advanced lung cancer patients-or their families in cases of incompetence-were not involved in ELD making, despite the wishes of most of them. Physicians should openly discuss ELDs and involvement preferences with their advanced lung cancer patients.Copyright A(c) 2012 U.S. Cancer Pain Relief Committee. Some patients express wishes of abbreviation of suffering at the end of their life, but when the time comes, they do not want to be informed of the imminence of their death (Bernheim 1996 (Bernheim, 2001 #CITATION_TAG).","When the patient died, the specialist and general practitioner were asked to fill in a questionnaire.Eighty-five patients who died within 18 months of diagnosis were studied.",['Respect for patient autonomy requires physicians to involve their patients in this decision making.The objective of this study was to examine the involvement of advanced lung cancer patients and their families in ELD making and compare their actual involvement with their previously stated preferences for involvement.Patients with Stage IIIb/IV non-small cell lung cancer were recruited by physicians in 13 hospitals and regularly interviewed between diagnosis and death.']
